timestamp,datetime,market,side,entry_price,prob,remaining_s,score,confidence,result,won,pnl
01:12:07,Feb 08 01:12:07,BTC15m,DOWN,0.0250,97.5%,173,0.68,unknown,UP,NO,-5.00
01:12:07,Feb 08 01:12:07,ETH15m,DOWN,0.0250,97.5%,173,0.68,unknown,UP,NO,-5.00
01:12:08,Feb 08 01:12:08,ETH15m,DOWN,0.0250,97.5%,172,0.68,unknown,UP,NO,-5.00
01:12:09,Feb 08 01:12:09,ETH15m,DOWN,0.0250,97.5%,171,0.68,unknown,UP,NO,-5.00
01:12:10,Feb 08 01:12:10,ETH15m,DOWN,0.0350,96.5%,170,0.71,unknown,UP,NO,-5.00
01:12:11,Feb 08 01:12:11,ETH15m,DOWN,0.0350,96.5%,169,0.71,unknown,UP,NO,-5.00
01:12:12,Feb 08 01:12:12,ETH15m,DOWN,0.0350,96.5%,168,0.71,unknown,UP,NO,-5.00
01:12:13,Feb 08 01:12:13,ETH15m,DOWN,0.0350,96.5%,167,0.71,unknown,UP,NO,-5.00
01:12:14,Feb 08 01:12:14,ETH15m,DOWN,0.0350,96.5%,166,0.72,unknown,UP,NO,-5.00
01:12:15,Feb 08 01:12:15,ETH15m,DOWN,0.0350,96.5%,165,0.71,unknown,UP,NO,-5.00
01:12:16,Feb 08 01:12:16,BTC15m,DOWN,0.0250,97.5%,164,0.71,unknown,UP,NO,-5.00
01:12:16,Feb 08 01:12:16,ETH15m,DOWN,0.0350,96.5%,164,0.71,unknown,UP,NO,-5.00
01:12:17,Feb 08 01:12:17,BTC15m,DOWN,0.0250,97.5%,163,0.71,unknown,UP,NO,-5.00
01:12:17,Feb 08 01:12:17,ETH15m,DOWN,0.0350,96.5%,163,0.72,unknown,UP,NO,-5.00
01:12:18,Feb 08 01:12:18,BTC15m,DOWN,0.0250,97.5%,162,0.71,unknown,UP,NO,-5.00
01:12:18,Feb 08 01:12:18,ETH15m,DOWN,0.0350,96.5%,162,0.72,unknown,UP,NO,-5.00
01:12:19,Feb 08 01:12:19,ETH15m,DOWN,0.0350,96.5%,161,0.72,unknown,UP,NO,-5.00
01:12:20,Feb 08 01:12:20,ETH15m,DOWN,0.0250,97.5%,160,0.71,unknown,UP,NO,-5.00
01:12:21,Feb 08 01:12:21,ETH15m,DOWN,0.0250,97.5%,159,0.70,unknown,UP,NO,-5.00
01:12:22,Feb 08 01:12:22,ETH15m,DOWN,0.0250,97.5%,158,0.71,unknown,UP,NO,-5.00
01:12:48,Feb 08 01:12:48,ETH15m,DOWN,0.0250,97.5%,132,0.74,unknown,UP,NO,-5.00
